household_id,household_size,distance_to_hub_km,join_date,baseline_kerosene_l_per_week,current_kerosene_l_per_week,kerosene_avoided_l_per_week,co2e_avoided_kg_per_week,kerosene_avoided_l_annualised_estimate,co2e_avoided_kg_annualised_estimate
HH049,2,0.7,2025-01-12,0.38,0.07,0.31,0.7812,16.12,40.6224
HH050,5,3.7,2025-01-06,1.93,0.32,1.6099999999999999,4.0572,83.72,210.9744
HH051,5,1.1,2025-01-13,1.96,0.37,1.5899999999999999,4.006799999999999,82.67999999999999,208.35359999999997
HH052,4,5.0,2025-01-01,1.51,0.47,1.04,2.6208,54.08,136.2816
HH053,4,2.1,2025-01-06,0.83,0.16,0.6699999999999999,1.6884,34.839999999999996,87.79679999999999
HH054,7,1.1,2025-02-16,1.53,0.49,1.04,2.6208,54.08,136.2816
HH055,5,5.5,2025-05-01,1.77,0.43,1.34,3.3768000000000002,69.68,175.5936
HH056,7,1.2,2025-01-20,2.26,0.38,1.88,4.7376,97.75999999999999,246.35519999999997
HH057,8,1.9,2025-01-10,2.98,0.66,2.32,5.8464,120.63999999999999,304.0128
HH058,4,1.2,2025-01-14,1.68,0.4,1.2799999999999998,3.2255999999999996,66.55999999999999,167.73119999999997
HH059,3,1.0,2025-01-13,1.11,0.23,0.8800000000000001,2.2176000000000005,45.760000000000005,115.31520000000002
HH060,8,0.4,2025-01-05,3.1,0.57,2.5300000000000002,6.3756,131.56,331.5312
HH061,6,0.6,2025-02-07,2.19,0.48,1.71,4.3092,88.92,224.0784
HH062,4,1.3,2025-02-18,1.61,0.36,1.25,3.15,65.0,163.79999999999998
HH063,6,0.6,2025-02-22,1.82,0.46,1.36,3.4272000000000005,70.72,178.2144
HH064,5,3.7,2025-05-01,1.68,0.3,1.38,3.4776,71.75999999999999,180.8352
HH065,8,4.2,2025-03-15,2.88,0.68,2.1999999999999997,5.544,114.39999999999999,288.28799999999995
HH066,3,2.5,2025-02-27,1.38,0.35,1.0299999999999998,2.5955999999999997,53.55999999999999,134.97119999999998
HH067,8,2.1,2025-02-06,2.64,0.69,1.9500000000000002,4.914000000000001,101.4,255.52800000000002
HH068,8,3.2,2025-01-21,3.01,0.7,2.3099999999999996,5.821199999999999,120.11999999999998,302.70239999999995
HH069,3,5.3,2025-01-02,0.94,0.21,0.73,1.8396,37.96,95.6592
HH070,3,5.2,2025-02-03,1.0,0.23,0.77,1.9404000000000001,40.04,100.9008
HH071,5,0.5,2025-01-22,2.08,0.33,1.75,4.41,91.0,229.32
HH072,2,1.3,2025-02-22,0.3,0.06,0.24,0.6048,12.48,31.4496
HH073,4,1.6,2025-03-12,0.88,0.2,0.6799999999999999,1.7135999999999998,35.36,89.10719999999999
HH074,5,1.7,2025-01-12,1.16,0.25,0.9099999999999999,2.2931999999999997,47.31999999999999,119.24639999999998
HH075,8,3.6,2025-01-02,1.87,0.44,1.4300000000000002,3.6036000000000006,74.36000000000001,187.38720000000004
HH076,8,2.7,2025-02-02,2.53,0.78,1.7499999999999998,4.409999999999999,90.99999999999999,229.31999999999996
HH077,3,0.6,2025-03-31,1.35,0.33,1.02,2.5704000000000002,53.04,133.66080000000002
HH078,8,2.4,2025-01-29,2.69,0.71,1.98,4.9896,102.96,259.4592
HH079,2,3.3,2025-03-16,0.78,0.24,0.54,1.3608,28.080000000000002,70.7616
HH080,7,0.9,2025-01-27,2.89,0.8,2.09,5.2668,108.67999999999999,273.8736
HH081,7,5.1,2025-02-15,2.98,0.61,2.37,5.9724,123.24000000000001,310.5648
HH082,8,0.6,2025-01-11,2.77,0.8,1.97,4.9644,102.44,258.1488
HH083,3,5.6,2025-01-05,1.59,0.3,1.29,3.2508,67.08,169.0416
HH084,8,0.9,2025-01-05,2.84,0.54,2.3,5.795999999999999,119.6,301.39199999999994
HH085,2,5.1,2025-01-05,0.37,0.08,0.29,0.7308,15.079999999999998,38.0016
HH086,5,5.4,2025-01-02,1.51,0.36,1.15,2.8979999999999997,59.8,150.69599999999997
HH087,5,5.9,2025-03-02,1.16,0.19,0.97,2.4444,50.44,127.1088
HH088,4,4.9,2025-01-16,1.04,0.18,0.8600000000000001,2.1672000000000002,44.720000000000006,112.69440000000002
HH089,2,4.7,2025-01-14,0.56,0.1,0.4600000000000001,1.1592000000000002,23.920000000000005,60.27840000000001
HH090,7,4.0,2025-02-02,2.77,0.61,2.16,5.4432,112.32000000000001,283.0464
HH091,4,4.7,2025-01-07,2.09,0.38,1.71,4.3092,88.92,224.0784
HH092,6,1.1,2025-03-09,1.55,0.23,1.32,3.3264,68.64,172.9728
HH093,4,3.4,2025-02-15,1.56,0.43,1.1300000000000001,2.8476000000000004,58.760000000000005,148.07520000000002
HH094,4,3.2,2025-01-12,0.98,0.24,0.74,1.8648,38.48,96.9696
HH095,8,5.2,2025-01-08,2.99,0.81,2.18,5.493600000000001,113.36000000000001,285.66720000000004
HH096,2,2.9,2025-01-19,0.65,0.12,0.53,1.3356000000000001,27.560000000000002,69.4512
HH097,7,2.5,2025-01-11,1.72,0.51,1.21,3.0492,62.92,158.5584
HH098,7,3.9,2025-01-03,2.82,0.49,2.33,5.8716,121.16,305.3232
HH099,4,1.8,2025-01-18,1.16,0.3,0.8599999999999999,2.1672,44.71999999999999,112.69439999999999
HH100,3,1.1,2025-03-20,0.84,0.21,0.63,1.5876000000000001,32.76,82.55520000000001
HH101,2,3.0,2025-02-05,0.3,0.07,0.22999999999999998,0.5796,11.959999999999999,30.1392
HH102,8,2.7,2025-04-18,2.54,0.77,1.77,4.4604,92.04,231.9408
HH103,8,1.6,2025-03-13,2.97,0.43,2.54,6.4008,132.08,332.8416
HH104,3,2.4,2025-02-09,0.97,0.24,0.73,1.8396,37.96,95.6592
HH105,2,2.4,2025-03-06,0.83,0.16,0.6699999999999999,1.6884,34.839999999999996,87.79679999999999
HH106,2,2.2,2025-01-26,0.84,0.2,0.6399999999999999,1.6127999999999998,33.279999999999994,83.86559999999999
HH107,2,2.5,2025-02-07,1.23,0.34,0.8899999999999999,2.2428,46.279999999999994,116.62559999999999
HH108,7,4.2,2025-01-14,2.31,0.44,1.87,4.712400000000001,97.24000000000001,245.04480000000004
HH109,8,2.0,2025-01-08,2.21,0.55,1.66,4.1832,86.32,217.52640000000002
HH110,3,5.7,2025-03-17,1.48,0.42,1.06,2.6712000000000002,55.120000000000005,138.9024
HH111,7,5.5,2025-01-05,2.32,0.37,1.9499999999999997,4.914,101.39999999999999,255.528
HH112,3,3.0,2025-01-07,1.5,0.26,1.24,3.1248,64.48,162.4896
HH113,4,2.2,2025-01-11,1.55,0.28,1.27,3.2004,66.04,166.4208
HH114,6,3.4,2025-02-03,2.05,0.45,1.5999999999999999,4.032,83.19999999999999,209.664
HH115,7,5.1,2025-01-15,2.59,0.47,2.12,5.3424000000000005,110.24000000000001,277.8048
HH116,8,4.0,2025-01-24,3.58,0.92,2.66,6.703200000000001,138.32,348.56640000000004
HH117,2,4.9,2025-03-17,1.53,0.35,1.1800000000000002,2.9736000000000002,61.36000000000001,154.62720000000002
HH118,3,3.3,2025-02-23,1.08,0.28,0.8,2.016,41.6,104.832
HH119,3,3.9,2025-02-10,1.11,0.31,0.8,2.016,41.6,104.832
HH120,4,1.9,2025-01-06,1.83,0.51,1.32,3.3264,68.64,172.9728
HH121,8,4.5,2025-02-11,2.46,0.44,2.02,5.0904,105.04,264.7008
HH122,7,1.5,2025-01-16,2.58,0.49,2.09,5.2668,108.67999999999999,273.8736
HH123,4,4.3,2025-01-05,1.39,0.39,0.9999999999999999,2.5199999999999996,51.99999999999999,131.03999999999996
HH124,8,5.2,2025-01-14,2.93,0.78,2.1500000000000004,5.418000000000001,111.80000000000001,281.73600000000005
HH125,5,1.1,2025-01-03,1.42,0.25,1.17,2.9484,60.839999999999996,153.3168
HH126,5,3.8,2025-02-02,1.11,0.29,0.8200000000000001,2.0664000000000002,42.64,107.45280000000001
HH127,5,0.8,2025-02-04,0.92,0.15,0.77,1.9404000000000001,40.04,100.9008
HH128,3,4.4,2025-01-11,0.6,0.18,0.42,1.0584,21.84,55.0368
HH129,8,0.8,2025-01-02,2.62,0.74,1.8800000000000001,4.7376000000000005,97.76,246.35520000000002
HH130,2,5.6,2025-04-06,0.58,0.16,0.41999999999999993,1.0583999999999998,21.839999999999996,55.036799999999985
HH131,3,1.1,2025-01-29,1.82,0.37,1.4500000000000002,3.6540000000000004,75.4,190.008
HH132,3,5.8,2025-02-22,1.49,0.38,1.1099999999999999,2.7971999999999997,57.71999999999999,145.4544
HH133,3,4.9,2025-01-13,0.67,0.1,0.5700000000000001,1.4364000000000001,29.640000000000004,74.6928
HH134,2,3.7,2025-02-28,0.84,0.21,0.63,1.5876000000000001,32.76,82.55520000000001
HH135,2,4.8,2025-02-27,0.54,0.1,0.44000000000000006,1.1088000000000002,22.880000000000003,57.65760000000001
HH136,6,4.8,2025-01-04,1.99,0.43,1.56,3.9312,81.12,204.4224
HH137,8,5.7,2025-05-01,2.87,0.47,2.4000000000000004,6.048000000000001,124.80000000000001,314.49600000000004
HH138,2,1.7,2025-01-24,0.95,0.15,0.7999999999999999,2.016,41.599999999999994,104.832
HH139,4,3.7,2025-02-18,1.26,0.32,0.94,2.3688,48.879999999999995,123.17759999999998
HH140,5,0.8,2025-01-09,2.18,0.54,1.6400000000000001,4.1328000000000005,85.28,214.90560000000002
