device_id,household_id,device_type,rated_capacity_wh,install_month_offset
DEV0047,HH032,solar_lantern,6.1,2
DEV0048,HH033,solar_lantern,6.4,7
DEV0049,HH034,solar_lantern,7.5,5
DEV0050,HH035,rechargeable_battery,33.9,6
DEV0051,HH036,solar_lantern,6.0,4
DEV0052,HH036,solar_lantern,7.4,3
DEV0053,HH037,solar_lantern,4.7,4
DEV0054,HH038,rechargeable_battery,31.9,6
DEV0055,HH038,solar_lantern,3.7,1
DEV0056,HH039,rechargeable_battery,43.8,5
DEV0057,HH039,solar_lantern,7.6,1
DEV0058,HH039,solar_lantern,4.8,4
DEV0059,HH040,solar_lantern,3.1,2
DEV0060,HH041,solar_lantern,5.1,4
DEV0061,HH042,rechargeable_battery,41.6,8
DEV0062,HH042,rechargeable_battery,29.4,2
DEV0063,HH042,solar_lantern,7.5,2
DEV0064,HH043,rechargeable_battery,46.1,4
DEV0065,HH043,solar_lantern,4.2,2
DEV0066,HH044,rechargeable_battery,31.3,2
DEV0067,HH045,rechargeable_battery,51.4,5
DEV0068,HH046,rechargeable_battery,47.0,3
DEV0069,HH047,rechargeable_battery,51.5,4
DEV0070,HH047,rechargeable_battery,24.1,1
DEV0071,HH048,rechargeable_battery,40.5,8
DEV0072,HH048,solar_lantern,7.8,3
DEV0073,HH049,solar_lantern,4.2,5
DEV0074,HH050,solar_lantern,4.6,0
DEV0075,HH051,solar_lantern,4.9,6
DEV0076,HH052,solar_lantern,4.5,0
DEV0077,HH052,solar_lantern,5.1,1
DEV0078,HH053,rechargeable_battery,20.0,0
DEV0079,HH054,solar_lantern,4.7,3
DEV0080,HH055,rechargeable_battery,30.4,3
DEV0081,HH055,solar_lantern,4.2,8
DEV0082,HH056,solar_lantern,4.7,4
DEV0083,HH056,rechargeable_battery,21.9,4
DEV0084,HH057,solar_lantern,3.2,4
DEV0085,HH057,solar_lantern,7.6,0
DEV0086,HH058,solar_lantern,3.6,0
DEV0087,HH059,solar_lantern,5.8,2
DEV0088,HH060,solar_lantern,7.3,5
DEV0089,HH060,rechargeable_battery,26.5,8
DEV0090,HH061,solar_lantern,7.6,6
DEV0091,HH061,solar_lantern,6.0,8
DEV0092,HH062,rechargeable_battery,32.7,8
DEV0093,HH063,rechargeable_battery,28.7,4
DEV0094,HH063,solar_lantern,3.4,3
DEV0095,HH064,solar_lantern,3.1,6
DEV0096,HH065,rechargeable_battery,49.5,1
DEV0097,HH065,solar_lantern,7.5,1
DEV0098,HH066,solar_lantern,6.5,5
DEV0099,HH067,solar_lantern,8.0,2
DEV0100,HH068,rechargeable_battery,43.4,0
DEV0101,HH069,rechargeable_battery,55.2,3
DEV0102,HH070,solar_lantern,3.3,4
DEV0103,HH071,solar_lantern,6.3,8
DEV0104,HH072,rechargeable_battery,29.3,7
DEV0105,HH073,solar_lantern,6.1,1
DEV0106,HH073,solar_lantern,6.4,4
DEV0107,HH074,rechargeable_battery,50.3,6
DEV0108,HH074,solar_lantern,5.6,8
DEV0109,HH075,rechargeable_battery,40.8,3
DEV0110,HH076,rechargeable_battery,35.8,3
DEV0111,HH077,solar_lantern,7.8,2
DEV0112,HH077,solar_lantern,7.3,1
DEV0113,HH078,solar_lantern,5.3,7
DEV0114,HH078,rechargeable_battery,35.2,6
DEV0115,HH079,rechargeable_battery,49.2,4
DEV0116,HH080,solar_lantern,7.5,7
DEV0117,HH081,rechargeable_battery,24.0,0
DEV0118,HH081,rechargeable_battery,20.9,1
DEV0119,HH082,solar_lantern,6.6,8
DEV0120,HH082,solar_lantern,4.6,7
DEV0121,HH082,rechargeable_battery,43.2,3
DEV0122,HH083,rechargeable_battery,38.7,3
DEV0123,HH084,solar_lantern,5.0,6
DEV0124,HH085,rechargeable_battery,33.6,1
DEV0125,HH086,solar_lantern,3.5,4
DEV0126,HH086,rechargeable_battery,31.1,6
DEV0127,HH086,solar_lantern,3.9,4
DEV0128,HH087,solar_lantern,3.2,4
DEV0129,HH088,rechargeable_battery,46.1,6
DEV0130,HH089,solar_lantern,4.5,4
DEV0131,HH090,rechargeable_battery,56.1,0
DEV0132,HH090,rechargeable_battery,58.1,8
DEV0133,HH091,solar_lantern,4.5,2
DEV0134,HH092,rechargeable_battery,44.7,4
DEV0135,HH093,solar_lantern,4.3,4
DEV0136,HH094,rechargeable_battery,49.4,1
DEV0137,HH094,solar_lantern,4.9,7
DEV0138,HH095,rechargeable_battery,28.3,3
DEV0139,HH095,rechargeable_battery,24.8,2
DEV0140,HH096,solar_lantern,7.2,8
DEV0141,HH097,solar_lantern,5.2,1
DEV0142,HH098,rechargeable_battery,55.0,2
DEV0143,HH098,solar_lantern,5.7,6
DEV0144,HH099,solar_lantern,7.7,2
DEV0145,HH100,rechargeable_battery,40.7,2
DEV0146,HH100,solar_lantern,5.7,4
DEV0147,HH101,solar_lantern,3.6,1
DEV0148,HH102,rechargeable_battery,26.5,8
DEV0149,HH103,solar_lantern,4.3,7
DEV0150,HH104,rechargeable_battery,32.9,0
DEV0151,HH105,solar_lantern,5.0,4
DEV0152,HH106,rechargeable_battery,52.7,4
DEV0153,HH107,solar_lantern,3.8,7
DEV0154,HH107,solar_lantern,3.3,8
DEV0155,HH108,rechargeable_battery,44.9,0
DEV0156,HH109,solar_lantern,7.6,6
DEV0157,HH109,solar_lantern,6.2,6
DEV0158,HH110,solar_lantern,3.3,0
DEV0159,HH110,solar_lantern,3.6,3
DEV0160,HH110,rechargeable_battery,35.7,1
DEV0161,HH111,solar_lantern,6.6,6
DEV0162,HH111,rechargeable_battery,44.0,4
DEV0163,HH112,rechargeable_battery,33.7,5
DEV0164,HH113,rechargeable_battery,21.6,1
DEV0165,HH113,solar_lantern,7.5,6
DEV0166,HH114,solar_lantern,6.3,6
DEV0167,HH114,solar_lantern,7.7,6
DEV0168,HH114,rechargeable_battery,36.1,3
DEV0169,HH115,rechargeable_battery,40.4,6
DEV0170,HH116,rechargeable_battery,33.7,8
DEV0171,HH117,solar_lantern,3.6,7
DEV0172,HH118,rechargeable_battery,46.5,0
DEV0173,HH118,solar_lantern,4.6,7
DEV0174,HH119,rechargeable_battery,29.9,1
DEV0175,HH119,rechargeable_battery,25.2,7
DEV0176,HH120,solar_lantern,6.4,2
DEV0177,HH121,solar_lantern,5.7,4
DEV0178,HH121,rechargeable_battery,44.4,6
DEV0179,HH122,rechargeable_battery,32.8,6
DEV0180,HH123,rechargeable_battery,20.9,8
DEV0181,HH124,rechargeable_battery,44.4,3
DEV0182,HH125,rechargeable_battery,32.9,3
DEV0183,HH125,solar_lantern,5.4,3
DEV0184,HH126,solar_lantern,7.6,5
DEV0185,HH127,rechargeable_battery,59.1,0
DEV0186,HH127,rechargeable_battery,50.5,6
DEV0187,HH128,solar_lantern,4.2,5
DEV0188,HH129,solar_lantern,5.9,5
DEV0189,HH130,solar_lantern,7.1,2
DEV0190,HH131,solar_lantern,4.7,7
DEV0191,HH132,rechargeable_battery,25.5,6
DEV0192,HH132,solar_lantern,5.0,6
DEV0193,HH133,solar_lantern,3.8,0
DEV0194,HH133,rechargeable_battery,57.3,3
DEV0195,HH133,rechargeable_battery,22.8,8
DEV0196,HH134,solar_lantern,7.4,1
DEV0197,HH134,rechargeable_battery,24.5,6
DEV0198,HH135,solar_lantern,5.8,7
DEV0199,HH136,rechargeable_battery,46.1,0
DEV0200,HH137,solar_lantern,3.5,8
DEV0201,HH137,rechargeable_battery,59.1,2
DEV0202,HH137,solar_lantern,5.1,2
DEV0203,HH138,rechargeable_battery,34.1,2
DEV0204,HH139,rechargeable_battery,36.7,7
DEV0205,HH139,solar_lantern,6.7,6
DEV0206,HH140,rechargeable_battery,25.8,7
