transaction_id,date,hour,household_id,device_id,battery_level_start_pct,battery_level_end_pct,energy_delivered_wh,charge_duration_min,household_kerosene_use_l_this_week,is_simulated_fault_injected
T000071,2025-01-11,16,HH083,DEV0122,29.4,100.0,27.32,189.9,1.33,False
T000072,2025-01-11,18,HH084,DEV0123,26.4,100.0,3.68,24.8,2.53,False
T000073,2025-01-11,15,HH086,DEV0127,7.0,78.4,2.78,13.1,1.22,False
T000074,2025-01-11,15,HH091,DEV0133,6.5,93.3,3.91,24.7,1.97,False
T000075,2025-01-11,19,HH095,DEV0138,35.2,100.0,18.34,116.7,2.83,False
T000076,2025-01-11,17,HH097,DEV0141,17.1,100.0,4.31,20.7,1.88,False
T000077,2025-01-11,16,HH109,DEV0156,25.1,97.3,5.49,24.6,1.88,False
T000078,2025-01-11,14,HH128,DEV0187,29.9,100.0,2.94,14.4,0.55,False
T000079,2025-01-11,13,HH140,DEV0206,8.8,98.1,23.05,145.3,1.97,False
T000080,2025-01-12,15,HH004,DEV0005,24.7,97.9,5.27,23.7,0.85,False
T000081,2025-01-12,18,HH005,DEV0006,25.8,95.8,2.73,11.8,1.61,False
T000082,2025-01-12,19,HH011,DEV0015,22.8,100.0,46.01,251.1,1.98,False
T000083,2025-01-12,16,HH016,DEV0021,15.2,90.3,34.16,162.6,1.25,False
T000084,2025-01-12,13,HH022,DEV0031,15.8,98.1,16.7,106.1,1.77,False
T000085,2025-01-12,19,HH034,DEV0049,33.5,100.0,4.99,27.6,1.04,False
T000086,2025-01-12,19,HH040,DEV0059,16.7,96.4,2.47,16.7,2.33,False
T000087,2025-01-12,16,HH048,DEV0072,18.1,94.3,5.95,31.9,0.27,False
T000088,2025-01-12,19,HH050,DEV0074,16.8,92.0,3.46,16.9,1.81,False
T000089,2025-01-12,16,HH053,DEV0078,14.8,99.7,16.98,87.9,0.75,False
T000090,2025-01-12,19,HH075,DEV0109,15.2,92.5,31.54,214.1,1.34,False
T000091,2025-01-12,16,HH084,DEV0123,18.1,100.0,4.1,20.0,2.37,False
T000092,2025-01-12,15,HH085,DEV0124,15.6,91.7,25.57,110.6,0.31,False
T000093,2025-01-12,12,HH086,DEV0126,22.8,93.9,22.12,97.5,1.13,False
T000094,2025-01-12,17,HH091,DEV0133,32.7,100.0,3.03,20.1,1.89,False
T000095,2025-01-12,18,HH094,DEV0136,39.9,100.0,29.69,131.4,1.05,False
T000096,2025-01-12,18,HH095,DEV0139,25.2,100.0,18.55,128.5,2.72,False
T000097,2025-01-12,12,HH120,DEV0176,28.1,100.0,4.6,23.4,1.48,False
T000098,2025-01-12,16,HH129,DEV0188,29.2,100.0,4.18,27.7,1.85,False
T000099,2025-01-12,16,HH136,DEV0199,30.8,100.0,31.9,175.5,1.46,False
T000100,2025-01-13,19,HH004,DEV0005,37.4,100.0,4.51,29.0,0.78,False
T000101,2025-01-13,16,HH005,DEV0006,36.8,100.0,2.46,16.4,1.55,False
T000102,2025-01-13,18,HH016,DEV0021,30.0,100.0,31.85,217.3,1.18,False
T000103,2025-01-13,12,HH034,DEV0049,28.3,99.7,5.36,27.2,0.9,False
T000104,2025-01-13,18,HH040,DEV0059,9.9,96.8,2.69,12.8,2.19,False
T000105,2025-01-13,15,HH050,DEV0074,38.2,100.0,2.84,16.7,1.72,False
T000106,2025-01-13,19,HH051,DEV0075,35.1,100.0,3.18,14.0,2.0,False
T000107,2025-01-13,19,HH057,DEV0085,12.9,83.8,5.39,36.0,2.61,False
T000108,2025-01-13,17,HH059,DEV0087,38.3,100.0,3.58,16.2,1.07,False
T000109,2025-01-13,13,HH060,DEV0088,24.5,100.0,5.51,27.4,2.59,False
T000110,2025-01-13,16,HH074,DEV0107,33.9,100.0,33.25,179.5,1.21,False
T000111,2025-01-13,18,HH082,DEV0119,28.7,100.0,4.71,34.2,2.46,False
T000112,2025-01-13,19,HH083,DEV0122,16.9,100.0,32.16,194.8,1.26,False
T000113,2025-01-13,19,HH085,DEV0124,18.1,92.4,24.95,109.1,0.3,False
T000114,2025-01-13,16,HH095,DEV0138,16.1,94.8,22.26,143.3,2.57,False
T000115,2025-01-13,17,HH098,DEV0143,28.1,100.0,4.1,26.5,2.36,False
T000116,2025-01-13,16,HH109,DEV0157,8.1,87.1,4.9,31.1,2.03,False
T000117,2025-01-13,19,HH111,DEV0161,15.7,87.5,4.74,21.0,2.0,False
T000118,2025-01-13,19,HH112,DEV0163,27.0,100.0,24.6,117.0,1.27,False
T000119,2025-01-13,16,HH129,DEV0188,17.5,92.7,4.44,33.2,1.92,False
T000120,2025-01-14,19,HH005,DEV0006,29.4,100.0,2.75,13.8,1.31,False
T000121,2025-01-14,15,HH017,DEV0023,17.6,100.0,4.7,28.2,2.03,False
T000122,2025-01-14,19,HH018,DEV0025,17.6,94.1,30.77,230.2,1.93,False
T000123,2025-01-14,13,HH022,DEV0031,16.0,91.2,15.26,88.6,1.89,False
T000124,2025-01-14,18,HH028,DEV0040,32.7,100.0,25.98,157.5,1.18,False
T000125,2025-01-14,18,HH031,DEV0045,18.2,100.0,41.64,181.0,1.82,False
T000126,2025-01-14,13,HH034,DEV0049,15.5,95.3,5.99,36.9,0.97,False
T000127,2025-01-14,15,HH038,DEV0055,34.8,100.0,2.41,15.9,2.57,False
T000128,2025-01-14,19,HH040,DEV0059,21.4,100.0,2.44,12.2,2.05,False
T000129,2025-01-14,18,HH050,DEV0074,36.2,100.0,2.93,20.1,1.46,False
T000130,2025-01-14,17,HH051,DEV0075,34.6,100.0,3.2,16.0,1.83,False
T000131,2025-01-14,13,HH059,DEV0087,26.4,100.0,4.27,22.0,1.16,False
T000132,2025-01-14,18,HH069,DEV0101,9.6,86.1,42.25,221.7,0.75,False
T000133,2025-01-14,17,HH083,DEV0122,39.1,100.0,23.57,126.8,1.26,False
T000134,2025-01-14,12,HH084,DEV0123,12.6,84.6,3.6,23.6,2.1,False
T000135,2025-01-14,16,HH095,DEV0138,26.1,100.0,20.91,102.0,2.82,False
T000136,2025-01-14,12,HH108,DEV0155,18.7,100.0,36.5,192.3,2.47,False
T000137,2025-01-14,15,HH112,DEV0163,24.6,100.0,25.41,126.2,1.38,False
T000138,2025-01-14,19,HH129,DEV0188,7.7,91.3,4.93,27.9,1.7,False
T000139,2025-01-14,16,HH140,DEV0206,8.9,91.6,21.32,101.1,1.76,False
T000140,2025-01-15,17,HH005,DEV0006,5.5,90.2,3.3,24.4,1.34,False
T000141,2025-01-15,16,HH014,DEV0019,26.1,98.6,3.26,16.2,1.46,False
T000142,2025-01-15,17,HH026,DEV0038,36.5,100.0,31.75,213.6,1.14,False
T000143,2025-01-15,14,HH031,DEV0045,27.7,100.0,36.8,271.3,1.88,False
T000144,2025-01-15,16,HH034,DEV0049,15.8,100.0,6.32,44.6,0.92,False
T000145,2025-01-15,15,HH037,DEV0053,11.0,87.9,3.61,22.6,2.58,False
T000146,2025-01-15,15,HH044,DEV0066,19.9,92.9,22.84,116.5,2.26,False
T000147,2025-01-15,15,HH048,DEV0071,39.9,100.0,24.34,108.1,0.28,False
T000148,2025-01-15,16,HH050,DEV0074,39.6,100.0,2.78,20.3,1.58,False
T000149,2025-01-15,14,HH052,DEV0076,14.6,100.0,3.84,18.1,1.09,False
T000150,2025-01-15,12,HH053,DEV0078,32.3,100.0,13.54,78.3,0.68,False
T000151,2025-01-15,17,HH060,DEV0089,35.2,100.0,17.17,95.3,2.3,False
T000152,2025-01-15,13,HH069,DEV0101,25.1,100.0,41.34,238.8,0.67,False
T000153,2025-01-15,19,HH074,DEV0108,20.2,100.0,4.47,19.4,1.01,False
T000154,2025-01-15,18,HH075,DEV0109,27.6,100.0,29.54,202.0,1.26,False
T000155,2025-01-15,17,HH082,DEV0119,13.9,100.0,5.68,32.1,2.61,False
T000156,2025-01-15,18,HH085,DEV0124,28.1,100.0,24.16,174.4,0.3,False
T000157,2025-01-15,13,HH086,DEV0127,32.1,100.0,2.65,18.7,1.16,False
T000158,2025-01-15,18,HH089,DEV0130,24.2,100.0,3.41,19.6,0.51,False
T000159,2025-01-15,16,HH094,DEV0137,25.8,100.0,3.64,17.5,0.9,False
T000160,2025-01-15,19,HH095,DEV0138,36.4,100.0,18.0,90.6,2.61,False
T000161,2025-01-15,17,HH097,DEV0141,29.3,100.0,3.68,17.9,1.47,False
T000162,2025-01-15,19,HH098,DEV0143,32.1,100.0,3.87,17.1,2.02,False
T000163,2025-01-15,16,HH109,DEV0156,13.5,99.2,6.51,37.7,1.9,False
T000164,2025-01-15,13,HH115,DEV0169,6.1,97.3,36.85,213.3,2.53,False
T000165,2025-01-15,14,HH120,DEV0176,34.5,100.0,4.19,19.6,1.43,False
T000166,2025-01-15,16,HH123,DEV0180,20.1,100.0,16.7,100.7,0.96,False
T000167,2025-01-16,15,HH009,DEV0013,32.2,100.0,3.8,21.1,0.67,False
T000168,2025-01-16,14,HH018,DEV0025,33.3,100.0,26.81,125.6,1.74,False
T000169,2025-01-16,15,HH022,DEV0031,7.5,96.4,18.05,86.2,1.68,False
T000170,2025-01-16,14,HH029,DEV0042,38.2,100.0,32.2,210.7,1.42,False
T000171,2025-01-16,19,HH034,DEV0049,18.2,100.0,6.14,26.8,0.85,False
T000172,2025-01-16,15,HH051,DEV0075,34.9,100.0,3.19,19.6,1.76,False
T000173,2025-01-16,19,HH058,DEV0086,36.2,100.0,2.3,11.3,1.53,False
T000174,2025-01-16,13,HH075,DEV0109,33.6,100.0,27.09,131.6,1.38,False
T000175,2025-01-16,19,HH084,DEV0123,14.4,100.0,4.28,23.9,2.0,False
T000176,2025-01-16,12,HH086,DEV0126,39.7,100.0,18.75,95.9,1.13,False
T000177,2025-01-16,15,HH088,DEV0129,11.3,83.5,33.28,156.3,0.94,False
T000178,2025-01-16,17,HH089,DEV0130,38.2,100.0,2.78,13.3,0.56,False
T000179,2025-01-16,15,HH091,DEV0133,22.5,100.0,3.49,16.0,1.68,False
T000180,2025-01-16,16,HH113,DEV0165,8.9,91.5,6.2,28.0,1.37,False
T000181,2025-01-16,15,HH123,DEV0180,11.3,100.0,18.54,98.4,1.15,False
T000182,2025-01-16,18,HH136,DEV0199,15.4,100.0,39.0,288.7,1.46,False
T000183,2025-01-17,17,HH004,DEV0005,6.2,92.7,6.23,26.7,0.65,False
T000184,2025-01-17,14,HH017,DEV0022,39.5,100.0,13.49,79.6,1.96,False
T000185,2025-01-17,15,HH028,DEV0040,32.1,100.0,26.21,120.8,1.24,False
T000186,2025-01-17,16,HH031,DEV0045,28.8,100.0,36.24,201.4,1.77,False
T000187,2025-01-17,14,HH040,DEV0059,12.5,98.9,2.68,16.5,2.0,False
T000188,2025-01-17,19,HH044,DEV0066,33.0,100.0,20.97,128.2,2.14,False
T000189,2025-01-17,13,HH050,DEV0074,36.0,100.0,2.94,16.2,1.62,False
T000190,2025-01-17,19,HH053,DEV0078,30.8,100.0,13.84,91.7,0.63,False
T000191,2025-01-17,14,HH069,DEV0101,11.4,98.4,48.03,218.2,0.68,False
T000192,2025-01-17,18,HH074,DEV0107,24.3,100.0,38.08,234.1,0.91,False
T000193,2025-01-17,15,HH075,DEV0109,18.6,96.8,31.89,156.6,1.3,False
T000194,2025-01-17,11,HH082,DEV0120,30.4,100.0,3.2,14.0,2.33,False
T000195,2025-01-17,19,HH083,DEV0122,20.1,100.0,30.92,152.8,1.23,False
T000196,2025-01-17,18,HH089,DEV0130,29.0,100.0,3.2,19.0,0.56,False
T000197,2025-01-17,14,HH094,DEV0136,32.1,100.0,33.54,156.8,0.88,False
T000198,2025-01-17,15,HH095,DEV0139,6.9,90.7,20.79,116.4,2.17,False
T000199,2025-01-17,16,HH111,DEV0162,29.0,100.0,31.24,181.2,1.65,False
T000200,2025-01-17,19,HH113,DEV0164,14.4,83.5,14.94,73.6,1.25,False
T000201,2025-01-17,15,HH122,DEV0179,14.2,100.0,28.14,179.7,2.65,False
T000202,2025-01-17,16,HH124,DEV0181,8.7,97.9,39.61,180.5,2.88,False
T000203,2025-01-17,16,HH128,DEV0187,34.7,100.0,2.74,16.9,0.52,False
T000204,2025-01-17,19,HH129,DEV0188,21.2,100.0,4.65,28.5,1.65,False
T000205,2025-01-17,19,HH136,DEV0199,10.7,88.3,35.77,197.6,1.44,False
T000206,2025-01-17,19,HH140,DEV0206,28.7,100.0,18.4,81.3,1.77,False
T000207,2025-01-18,15,HH022,DEV0030,27.9,100.0,3.24,19.9,1.42,False
T000208,2025-01-18,13,HH026,DEV0038,37.2,100.0,31.4,197.3,1.11,False
T000209,2025-01-18,16,HH034,DEV0049,26.6,100.0,5.51,27.6,0.89,False
T000210,2025-01-18,16,HH051,DEV0075,37.8,100.0,3.05,13.5,1.59,False
T000211,2025-01-18,11,HH060,DEV0089,29.1,100.0,18.79,101.7,2.26,False
T000212,2025-01-18,18,HH088,DEV0129,12.7,95.4,38.12,228.1,0.97,False
T000213,2025-01-18,17,HH089,DEV0130,9.9,87.7,3.5,24.1,0.54,False
T000214,2025-01-18,16,HH094,DEV0136,26.3,100.0,36.41,240.5,0.75,False
T000215,2025-01-18,16,HH098,DEV0142,36.8,100.0,34.76,157.1,1.75,False
T000216,2025-01-18,18,HH109,DEV0157,27.7,100.0,4.48,23.6,1.58,False
T000217,2025-01-18,14,HH113,DEV0165,23.1,96.8,5.52,27.4,1.19,False
T000218,2025-01-18,18,HH124,DEV0181,5.7,89.5,37.22,163.9,2.36,False
T000219,2025-01-18,19,HH128,DEV0187,23.6,100.0,3.21,17.3,0.51,False
T000220,2025-01-19,10,HH004,DEV0005,15.0,100.0,6.12,27.6,0.63,False
T000221,2025-01-19,17,HH011,DEV0015,17.8,100.0,48.99,296.8,1.79,False
T000222,2025-01-19,17,HH016,DEV0021,37.8,100.0,28.3,148.2,1.11,False
T000223,2025-01-19,16,HH017,DEV0023,12.8,99.5,4.94,28.0,1.98,False
T000224,2025-01-19,14,HH026,DEV0038,16.5,98.1,40.81,288.1,0.98,False
T000225,2025-01-19,16,HH028,DEV0040,28.0,100.0,27.79,136.1,1.17,False
T000226,2025-01-19,15,HH029,DEV0043,25.7,100.0,39.3,208.4,1.56,False
T000227,2025-01-19,16,HH031,DEV0046,18.1,100.0,42.59,307.4,1.69,False
T000228,2025-01-19,16,HH035,DEV0050,35.1,100.0,22.0,113.1,1.57,False
T000229,2025-01-19,19,HH038,DEV0054,20.0,97.7,24.8,133.8,2.29,False
T000230,2025-01-19,18,HH040,DEV0059,27.8,100.0,2.24,13.2,1.82,False
T000231,2025-01-19,14,HH052,DEV0077,16.0,90.8,3.81,26.9,0.94,False
T000232,2025-01-19,19,HH057,DEV0084,39.1,100.0,1.95,8.9,2.24,False
T000233,2025-01-19,19,HH060,DEV0088,15.2,89.4,5.42,36.7,2.01,False
T000234,2025-01-19,19,HH074,DEV0108,29.2,100.0,3.96,25.4,1.02,False
T000235,2025-01-19,15,HH082,DEV0119,36.7,100.0,4.18,26.1,2.17,False
T000236,2025-01-19,14,HH083,DEV0122,13.8,100.0,33.36,173.6,0.98,False
T000237,2025-01-19,16,HH084,DEV0123,30.5,100.0,3.47,17.0,1.86,False
T000238,2025-01-19,16,HH097,DEV0141,26.7,100.0,3.81,22.0,1.36,False
T000239,2025-01-19,19,HH108,DEV0155,19.3,99.6,36.07,187.3,2.05,False
T000240,2025-01-19,15,HH112,DEV0163,10.8,92.2,27.44,188.8,1.02,False
T000241,2025-01-19,13,HH115,DEV0169,10.7,94.4,33.81,157.6,2.37,False
T000242,2025-01-19,19,HH120,DEV0176,32.1,100.0,4.35,29.2,1.33,False
T000243,2025-01-19,17,HH122,DEV0179,18.2,100.0,26.83,157.4,2.46,False
T000244,2025-01-19,19,HH124,DEV0181,8.4,83.5,33.35,162.6,2.54,False
T000245,2025-01-19,11,HH129,DEV0188,6.9,95.3,5.22,27.1,1.73,False
T000246,2025-01-20,18,HH004,DEV0005,7.7,91.3,6.02,27.9,0.67,False
T000247,2025-01-20,19,HH009,DEV0013,13.8,94.4,4.51,21.3,0.58,False
T000248,2025-01-20,13,HH011,DEV0015,21.6,93.9,43.11,255.5,1.71,False
T000249,2025-01-20,18,HH016,DEV0021,35.7,100.0,29.26,209.7,1.07,False
T000250,2025-01-20,15,HH017,DEV0023,6.7,81.7,4.28,25.9,1.74,False
T000251,2025-01-20,15,HH020,DEV0027,17.4,88.7,2.49,14.3,0.67,False
T000252,2025-01-20,19,HH022,DEV0031,26.2,99.6,14.9,67.9,1.61,False
T000253,2025-01-20,15,HH026,DEV0038,37.6,100.0,31.2,143.9,0.94,False
T000254,2025-01-20,18,HH028,DEV0040,22.1,100.0,30.07,136.1,1.08,False
T000255,2025-01-20,17,HH048,DEV0072,13.0,94.7,6.37,33.6,0.22,False
T000256,2025-01-20,19,HH049,DEV0073,12.8,83.8,2.98,14.7,0.28,False
T000257,2025-01-20,18,HH050,DEV0074,16.7,100.0,3.83,25.8,1.25,False
T000258,2025-01-20,18,HH051,DEV0075,6.5,99.1,4.54,23.4,1.56,False
T000259,2025-01-20,17,HH057,DEV0085,13.6,94.5,6.15,39.7,2.09,False
T000260,2025-01-20,18,HH059,DEV0087,11.8,94.9,4.82,23.3,0.88,False
T000261,2025-01-20,19,HH060,DEV0089,6.9,79.0,19.1,129.0,2.28,False
T000262,2025-01-20,17,HH074,DEV0107,37.3,100.0,31.54,146.1,0.95,False
T000263,2025-01-20,17,HH083,DEV0122,37.3,100.0,24.26,123.5,1.08,False
T000264,2025-01-20,19,HH085,DEV0124,9.5,86.4,25.83,184.6,0.24,False
T000265,2025-01-20,13,HH088,DEV0129,15.1,91.8,35.36,197.3,0.88,False
T000266,2025-01-20,17,HH091,DEV0133,9.9,86.6,3.45,21.2,1.48,False
T000267,2025-01-20,13,HH094,DEV0136,20.0,100.0,39.52,182.0,0.74,False
T000268,2025-01-20,19,HH096,DEV0140,32.5,100.0,4.86,32.3,0.61,False
T000269,2025-01-20,15,HH111,DEV0161,7.6,92.5,5.6,24.6,1.46,False
T000270,2025-01-20,16,HH124,DEV0181,9.2,89.7,35.74,164.9,2.65,False
T000271,2025-01-20,17,HH125,DEV0182,9.6,90.2,26.51,121.6,0.87,False
T000272,2025-01-20,15,HH133,DEV0193,31.4,100.0,2.61,16.2,0.6,False
T000273,2025-01-20,14,HH136,DEV0199,14.8,96.4,37.64,236.8,1.5,False
T000274,2025-01-21,14,HH014,DEV0019,12.8,96.6,3.77,28.2,1.22,False
T000275,2025-01-21,15,HH020,DEV0027,17.5,100.0,2.89,16.7,0.72,False
T000276,2025-01-21,18,HH022,DEV0031,6.9,77.7,14.37,65.6,1.53,False
T000277,2025-01-21,14,HH031,DEV0045,14.8,100.0,43.37,196.8,1.38,False
T000278,2025-01-21,19,HH034,DEV0049,8.6,77.3,5.15,34.3,0.8,False
T000279,2025-01-21,16,HH038,DEV0054,18.8,100.0,25.9,143.6,2.05,False
T000280,2025-01-21,13,HH048,DEV0072,5.1,85.7,6.29,39.2,0.25,False
T000281,2025-01-21,17,HH051,DEV0075,17.4,100.0,4.05,25.9,1.54,False
T000282,2025-01-21,16,HH056,DEV0083,36.4,100.0,13.93,67.7,2.37,False
T000283,2025-01-21,19,HH060,DEV0089,30.5,100.0,18.42,100.5,2.19,False
T000284,2025-01-21,18,HH068,DEV0100,33.3,100.0,28.95,164.4,2.97,False
T000285,2025-01-21,16,HH083,DEV0122,27.8,100.0,27.94,146.3,1.08,False
T000286,2025-01-21,19,HH084,DEV0123,20.1,100.0,4.0,19.5,1.71,False
T000287,2025-01-21,16,HH091,DEV0133,20.1,100.0,3.6,20.3,1.51,False
T000288,2025-01-21,18,HH097,DEV0141,33.2,100.0,3.47,22.4,1.44,False
T000289,2025-01-21,10,HH111,DEV0162,39.0,100.0,26.84,185.6,1.63,False
T000290,2025-01-21,17,HH112,DEV0163,13.3,100.0,29.22,167.0,1.07,False
T000291,2025-01-21,17,HH113,DEV0164,21.7,97.1,16.28,74.6,1.26,False
T000292,2025-01-21,16,HH115,DEV0169,39.8,100.0,24.32,123.3,1.98,False
T000293,2025-01-21,16,HH122,DEV0179,7.8,84.1,25.04,118.6,2.15,False
T000294,2025-01-21,18,HH124,DEV0181,10.1,84.6,33.08,156.0,2.38,False
T000295,2025-01-21,18,HH125,DEV0183,33.8,100.0,3.57,15.5,0.94,False
T000296,2025-01-21,18,HH128,DEV0187,28.7,100.0,2.99,20.3,0.51,False
T000297,2025-01-22,16,HH011,DEV0015,26.3,100.0,43.93,229.2,1.61,False
T000298,2025-01-22,14,HH014,DEV0019,34.2,100.0,2.96,15.6,1.16,False
T000299,2025-01-22,14,HH017,DEV0022,16.7,92.6,16.93,72.7,1.92,False
T000300,2025-01-22,18,HH022,DEV0031,27.9,100.0,14.64,81.8,1.61,False
T000301,2025-01-22,12,HH034,DEV0049,15.4,100.0,6.34,37.4,0.66,False
T000302,2025-01-22,17,HH049,DEV0073,25.9,100.0,3.11,15.0,0.31,False
T000303,2025-01-22,17,HH050,DEV0074,15.7,100.0,3.88,20.8,1.26,False
T000304,2025-01-22,16,HH057,DEV0084,9.1,89.8,2.58,18.3,2.23,False
T000305,2025-01-22,19,HH068,DEV0100,17.3,100.0,35.89,218.5,3.05,False
T000306,2025-01-22,15,HH075,DEV0109,25.7,97.0,29.09,209.9,1.19,False
T000307,2025-01-22,19,HH085,DEV0124,18.2,96.2,26.19,120.7,0.22,False
